name,smiles,toxic
SAFE_4378,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N)C(=O)O,0
TOXIC_3704,CC(C)OP(=O)(C)F,1
TOXIC_3951,CCN(CC)C(=S)SSC(=S)N(CC)CC,1
TOXIC_372,ClC=C,1
TOXIC_4893,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)C)C(F)(F)F,1
SAFE_3363,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
TOXIC_4325,C=O,1
SAFE_1169,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,0
TOXIC_1511,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],1
TOXIC_599,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],1
SAFE_4427,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0
SAFE_166,CC(=O)NC1=CC=C(O)C=C1,0
SAFE_1010,CN(C)C(=N)N,0
TOXIC_3592,CC(C)OP(=O)(C)F,1
SAFE_1316,C(=O)(N)N,0
TOXIC_3121,ClC(Cl)Cl,1
SAFE_4166,C(=O)(N)N,0
SAFE_1884,CC(=O)O,0
TOXIC_3956,ClC=C,1
SAFE_4351,CC(=O)NC1=CC=C(O)C=C1,0
SAFE_3807,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,0
TOXIC_3468,[Pb],1
TOXIC_3493,C=O,1
SAFE_1348,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N)C(=O)O,0
SAFE_4864,COC1=CC=C(C=C1)C(C)C(=O)O,0
SAFE_4197,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,0
SAFE_4026,CCO,0
TOXIC_3416,CC(C)OP(=O)(C)F,1
TOXIC_2641,ClC(Cl)Cl,1
SAFE_48,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
TOXIC_977,ClC(Cl)Cl,1
TOXIC_409,N#C,1
SAFE_579,CC(=O)O,0
TOXIC_2601,N#C,1
TOXIC_273,ClC(Cl)Cl,1
TOXIC_1279,CCN(CC)C(=S)SSC(=S)N(CC)CC,1
SAFE_2214,CC(=O)O,0
SAFE_1090,C(C(CO)O)O,0
TOXIC_3889,ClC(Cl)Cl,1
SAFE_1973,C(C1C(C(C(C(O1)O)O)O)O)O,0
TOXIC_680,CC(C)OP(=O)(C)F,1
TOXIC_2011,[Hg],1
TOXIC_27,[Hg],1
SAFE_2490,CC(=O)OC1=CC=CC=C1C(=O)O,0
SAFE_1346,C(=O)(N)N,0
TOXIC_2747,[Hg],1
TOXIC_4251,[Hg],1
SAFE_4905,CC(=O)OC1=CC=CC=C1C(=O)O,0
SAFE_2281,CC(=O)NC1=CC=C(O)C=C1,0
SAFE_2345,CN(C)C(=N)N,0
SAFE_1357,C(C(=O)O)N,0
TOXIC_3391,CCN(CC)C(=S)SSC(=S)N(CC)CC,1
SAFE_2513,C(C1C(C(C(C(O1)O)O)O)O)O,0
TOXIC_1319,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],1
SAFE_606,CCO,0
SAFE_4340,CN(C)C(=N)N,0
TOXIC_1774,CC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,1
TOXIC_1817,N#C,1
SAFE_3316,CC(=O)NC1=CC=C(O)C=C1,0
TOXIC_4971,[Hg],1
SAFE_2408,C(C1C(C(C(C(O1)O)O)O)O)O,0
SAFE_4841,C(=O)(N)N,0
TOXIC_3316,ClC=C,1
SAFE_4118,C(C1C(C(C(C(O1)O)O)O)O)O,0
SAFE_973,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N)C(=O)O,0
TOXIC_4349,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)C)C(F)(F)F,1
TOXIC_2104,CC(C)OP(=O)(C)F,1
TOXIC_4782,CC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,1
TOXIC_741,C=O,1
SAFE_1572,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,0
TOXIC_1779,c1ccccc1,1
SAFE_4019,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,0
TOXIC_3303,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],1
TOXIC_4501,C=O,1
SAFE_3812,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0
TOXIC_1997,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)C)C(F)(F)F,1
SAFE_1641,CCO,0
TOXIC_4650,O=[As]O[As]=O,1
SAFE_1938,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
SAFE_4164,CC(=O)O,0
SAFE_1614,CC(=O)O,0
SAFE_2657,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0
TOXIC_1434,O=[As]O[As]=O,1
TOXIC_1701,C=O,1
SAFE_2848,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N)C(=O)O,0
SAFE_801,CCO,0
SAFE_874,COC1=CC=C(C=C1)C(C)C(=O)O,0
SAFE_1361,C(=O)(N)N,0
TOXIC_1902,CC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,1
SAFE_442,C(C(=O)O)N,0
TOXIC_3874,NN,1
SAFE_2903,C(C1C(C(C(C(O1)O)O)O)O)O,0
TOXIC_1333,C=O,1
TOXIC_1508,ClC=C,1
SAFE_1757,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0
SAFE_1563,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
SAFE_2861,C(=O)(N)N,0
SAFE_4309,COC1=CC=C(C=C1)C(C)C(=O)O,0
SAFE_2847,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,0
SAFE_2487,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,0
SAFE_1438,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N)C(=O)O,0
TOXIC_4327,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],1
SAFE_2880,CC(=O)OC1=CC=CC=C1C(=O)O,0
SAFE_1631,C(=O)(N)N,0
SAFE_3528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
TOXIC_760,CC(C)OP(=O)(C)F,1
SAFE_528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
SAFE_1714,COC1=CC=C(C=C1)C(C)C(=O)O,0
